time, x0, x1, x2, x3, x4, x5, x6, x7
4.509219037795074492e+00, 2.912500389547926366e-02, 2.020874996104519816e+00, 3.946420971819175616e-02, 1.726330768720454878e-01, 1.771618225702819132e+02, -1.794095710909758736e+02, 1.812658664335403103e+02, 0.000000000000000000e+00
4.583216479573364310e+00, 2.756046998802238676e-02, 2.022439530011976849e+00, 3.929131469547678113e-02, 1.793182180347583365e-01, 1.910749846062207382e+02, -1.933381866282157659e+02, 1.951874510395720392e+02, 0.000000000000000000e+00
4.657213921351654129e+00, 2.610752787053044824e-02, 2.023892472129468878e+00, 3.911841967276180609e-02, 1.862811812135673484e-01, 2.060572148535061956e+02, -2.083363144290444495e+02, 2.101782700871764860e+02, 0.000000000000000000e+00
4.731211363129943948e+00, 2.475821815808479376e-02, 2.025241781841914612e+00, 3.894552465004683106e-02, 1.935322321131415224e-01, 2.221906166503187876e+02, -2.244860863224368188e+02, 2.263204451396238426e+02, 0.000000000000000000e+00
4.805208804908233766e+00, 2.350514917606436396e-02, 2.026494850823934879e+00, 3.877262962733185603e-02, 2.010820308823289826e-01, 2.395636007788887127e+02, -2.418759418025951788e+02, 2.437024050309676397e+02, 0.000000000000000000e+00
4.879206246686523585e+00, 2.234145646769743546e-02, 2.027658543532302016e+00, 3.859973460461688100e-02, 2.089416467075121409e-01, 2.582713698345140756e+02, -2.606011124676474537e+02, 2.624193702901492316e+02, 0.000000000000000000e+00
4.953203688464813403e+00, 2.126076518977363869e-02, 2.028739234810225778e+00, 3.842683958190190596e-02, 2.171225729660347659e-01, 2.784164398026534855e+02, -2.807641436646499642e+02, 2.825738747708478513e+02, 0.000000000000000000e+00
5.000000000000000000e+00, 2.061747481670886742e-02, 2.029382525183290209e+00, 3.831749999999994188e-02, 2.224674640014480953e-01, 2.919478170391287790e+02, -2.943071819923148951e+02, 2.961113495283135535e+02, 0.000000000000000000e+00
5.027201130243103222e+00, 2.025715519051574792e-02, 2.029742844809483859e+00, 3.825394455918693093e-02, 2.256367429604481389e-01, 3.001092017014182147e+02, -3.024754561984709653e+02, 3.042763273446290100e+02, 0.000000000000000000e+00
5.101198572021393041e+00, 1.932512857830367276e-02, 2.030674871421696448e+00, 3.808104953647195590e-02, 2.344965462551162894e-01, 3.234685263662764783e+02, -3.258539511815988590e+02, 3.276456167344168762e+02, 0.000000000000000000e+00
5.175196013799682859e+00, 1.845957960358855093e-02, 2.031540420396411140e+00, 3.790815451375698086e-02, 2.437148456375478611e-01, 3.486224156901214428e+02, -3.510276613382515620e+02, 3.528097628016416820e+02, 0.000000000000000000e+00
5.249193455577972678e+00, 1.765576668900629281e-02, 2.032344233310993342e+00, 3.773525949104200583e-02, 2.533049947276748148e-01, 3.757087038863481325e+02, -3.781344523306412384e+02, 3.799066178548957282e+02, 0.000000000000000000e+00
5.323190897356262496e+00, 1.690928645446860071e-02, 2.033090713545530726e+00, 3.756236446832703080e-02, 2.632808562591881230e-01, 4.048758126166151783e+02, -4.073227779492740979e+02, 4.090846218219516572e+02, 0.000000000000000000e+00
5.397188339134552315e+00, 1.621604959493761627e-02, 2.033783950405061880e+00, 3.738946944561205576e-02, 2.736568210579583549e-01, 4.362835641200527448e+02, -4.387524933042368502e+02, 4.405036154220703111e+02, 0.000000000000000000e+00
5.471185780912842134e+00, 1.557225847874013115e-02, 2.034427741521259936e+00, 3.721657442289708073e-02, 2.844478277435255054e-01, 4.701040567984140921e+02, -4.725957304721534911e+02, 4.743357157932560426e+02, 0.000000000000000000e+00
5.545183222691131952e+00, 1.497438634370216147e-02, 2.035025613656297860e+00, 3.704367940018210570e-02, 2.956693831806315176e-01, 5.065226080538180327e+02, -5.090378413956349846e+02, 5.107662593712548755e+02, 0.000000000000000000e+00
